"","mean_RT","Fly_021","Fly_023","Fly_024","Fly_025","Fly_026","Fly_031","Fly_032","Fly_034","Fly_035","Fly_036"
"P1",4.113,0,0,0,0,0,4.108,0,0,0,0
"P2",4.496,0,4.522,0,0,4.48,0,0,0,0,0
"P3",4.799,0,0,0,0,4.818,0,4.79,0,0,0
"P4",5.0089,5.011,5.011,5.004,5.011,5.011,5.004,5.004,5.004,5.018,5.011
"P5",5.629,5.715,5.584,5.563,5.583,5.577,5.701,5.756,5.563,0,0
"P6",6.5096,6.494,6.508,6.507,6.501,6.535,6.494,6.521,6.508,6.514,6.514
"P7",6.6145,0,0,0,0,6.618,0,0,0,0,6.611
"P8",7.024625,0,7.032,7.004,7.011,7.045,6.997,7.038,0,7.025,7.045
"P9",7.1988,7.197,0,0,7.204,0,7.197,7.197,7.204,0,0
"P10",7.27477777777778,7.273,7.28,7.28,7.273,7.273,0,7.273,7.273,7.28,7.273
"P11",7.554,0,0,0,0,0,7.549,0,0,0,0
"P12",8.63116666666667,8.604,0,8.617,0,8.624,8.659,8.679,0,0,8.604
"P13",8.884,0,0,0,0,0,0,0,0,8.879,0
"P14",9.04244444444444,9.052,9.038,9.024,9.045,9.052,9.038,0,9.031,9.059,9.038
"P15",9.35,0,0,0,0,0,0,9.355,0,0,0
"P16",9.4585,0,0,0,0,0,0,9.389,0,9.528,0
"P17",9.619,9.624,0,0,0,0,0,0,0,0,0
"P18",9.8128,9.817,9.81,9.81,9.817,9.81,9.817,9.81,9.817,9.81,9.81
"P19",10.0005,10.004,0,0,0,0,9.997,0,0,0,0
"P20",10.467,10.472,0,0,10.472,0,0,0,0,0,0
"P21",10.764,0,0,0,10.769,0,0,0,0,0,0
"P22",10.953,0,0,0,0,0,10.948,0,0,0,0
"P23",11.1093333333333,11.107,11.114,11.114,11.107,11.12,11.1,11.113,11.107,11.107,0
"P24",11.258,11.252,11.286,0,11.265,11.258,11.258,11.244,0,0,11.258
"P25",11.4685,11.472,0,0,0,0,11.465,0,0,0,0
"P26",11.5535,11.541,11.548,11.541,11.555,11.562,11.534,11.617,11.534,11.527,11.576
"P27",11.774,0,0,0,0,0,11.769,0,0,0,0
"P28",12.1988,12.203,12.203,12.196,12.196,12.196,12.196,12.203,12.196,12.203,12.196
"P29",12.2755,12.279,0,0,0,0,12.272,0,0,0,0
"P30",12.4125555555556,12.41,12.41,0,12.41,12.41,12.417,12.41,12.41,12.424,12.417
"P31",12.6615,0,0,0,0,0,0,12.644,0,12.679,0
"P32",12.8941,12.934,12.872,12.879,12.941,12.872,12.872,12.906,12.907,12.872,12.886
"P33",13.0372222222222,13.038,13.031,13.037,0,13.024,13.044,13.037,13.031,13.044,13.044
"P34",13.246,0,0,0,0,0,0,13.251,0,0,0
"P35",13.48,0,0,0,0,0,0,13.485,0,0,0
"P36",13.6795,13.679,0,0,13.658,0,0,13.74,13.651,0,0
"P37",13.8418888888889,13.844,13.851,0,13.844,13.844,13.851,13.823,13.83,13.858,13.837
"P38",14.0021,14.003,13.989,13.989,14.003,13.996,13.982,14.092,13.989,13.989,13.989
"P39",14.211,0,0,0,0,0,0,14.216,0,0,0
"P40",14.5305,0,0,0,0,14.52,14.541,0,0,0,0
"P41",14.7107777777778,14.706,14.706,14.699,14.706,14.713,14.699,14.761,0,14.706,14.706
"P42",14.9466,14.948,14.954,14.94,14.94,14.947,14.948,14.947,14.948,14.94,14.954
"P43",15.1952,15.196,15.21,15.189,15.196,15.196,15.189,15.195,15.196,15.189,15.196
"P44",15.68,0,0,0,0,0,0,15.685,0,0,0
"P45",16.051,16.12,16.051,16.051,16.044,16.058,16.099,15.981,0,16.03,16.03
"P46",16.2223333333333,16.216,0,16.23,0,16.216,16.223,0,16.216,0,16.223
"P47",16.3885,16.423,0,0,0,0,16.354,0,0,0,0
"P48",16.573,0,0,0,0,16.561,0,16.595,0,0,0
"P49",16.67,16.651,16.699,16.651,16.651,16.658,16.658,16.781,16.671,16.623,16.657
"P50",16.973,16.926,0,0,17.023,17.016,0,16.947,0,0,0
"P51",17.1168,17.113,17.12,17.119,17.113,17.12,17.12,17.119,17.113,17.112,17.119
"P52",17.2525,17.251,17.251,17.25,17.257,17.257,17.251,17.25,17.251,17.257,17.25
"P53",17.385,17.382,17.382,0,17.395,17.395,0,17.388,0,0,17.388
"P54",17.5031,17.506,17.506,17.506,17.506,17.506,17.513,17.457,17.513,17.512,17.506
"P55",17.68,0,0,0,0,0,0,17.685,0,0,0
"P56",18.068125,18.078,18.078,18.099,18.071,18.078,18.078,18.002,18.071,0,0
"P57",18.135,0,0,0,0,0,0,18.14,0,0,0
"P58",18.3,0,0,0,0,0,0,18.305,0,0,0
"P59",18.6737,18.664,18.678,18.685,18.671,18.664,18.664,18.691,18.678,18.678,18.664
"P60",18.8853333333333,18.933,0,0,0,0,0,18.94,0,18.788,0
"P61",19.031,0,0,0,0,0,0,19.036,0,0,0
"P62",19.162,0,0,0,0,0,0,19.167,0,0,0
"P63",19.2535,0,0,0,0,0,19.243,19.264,0,0,0
"P64",19.4166,19.416,19.423,19.429,19.423,19.423,19.416,19.402,19.416,19.416,19.402
"P65",19.645,0,0,0,0,0,0,19.65,0,0,0
"P66",19.7182,19.719,19.712,19.712,19.719,19.712,19.712,19.746,19.719,19.712,19.719
"P67",19.893,0,0,0,0,0,0,0,19.885,0,19.891
"P68",20.093,0,0,0,0,0,0,20.098,0,0,0
"P69",20.1785,20.209,0,0,20.215,0,0,20.153,0,0,20.147
"P70",20.252,0,0,0,0,0,0,20.257,0,0,0
"P71",20.545,0,0,0,0,20.54,0,20.546,20.554,0,20.54
"P72",20.6146666666667,0,0,0,0,0,20.609,20.615,0,0,20.615
"P73",20.727,0,0,0,0,0,0,20.732,0,0,0
"P74",20.817,0,0,0,0,0,0,20.822,0,0,0
"P75",20.893,0,0,0,0,0,0,20.898,0,0,0
"P76",20.9579,20.96,20.96,20.953,20.96,20.953,20.96,20.946,20.967,20.96,20.96
"P77",21.017,0,0,0,0,0,0,21.022,0,0,0
"P78",21.1119,21.112,21.112,21.105,21.112,21.119,21.112,21.118,21.098,21.112,21.119
"P79",21.232,0,21.236,0,0,0,0,21.215,0,21.25,0
"P80",21.279,0,0,0,0,0,0,21.284,0,0,0
"P81",21.341,0,0,0,0,0,0,21.346,0,0,0
"P82",21.4617142857143,21.464,21.471,0,21.464,21.457,21.464,21.463,21.464,0,0
"P83",21.6143,21.615,21.615,21.608,21.615,21.615,21.615,21.615,21.615,21.615,21.615
"P84",21.734,0,0,0,0,0,0,21.739,0,0,0
"P85",21.8218,21.822,0,0,21.829,21.822,0,21.822,21.829,0,0
"P86",21.9324,21.933,21.94,21.932,21.932,21.939,21.946,21.891,21.933,21.939,21.939
"P87",22.003,0,0,0,22.008,0,0,0,0,0,0
"P88",22.1379,22.133,22.133,22.139,22.132,22.126,22.139,22.146,22.139,22.146,22.146
"P89",22.258,0,0,0,0,0,0,22.263,0,0,0
"P90",22.396,0,0,0,0,0,0,22.401,0,0,0
"P91",22.486,0,0,0,0,0,0,22.491,0,0,0
"P92",22.658,22.67,0,0,22.67,0,0,22.649,0,0,0
"P93",22.80125,22.808,0,0,22.801,22.815,0,22.801,0,0,0
"P94",23.0328571428571,23.05,23.07,0,23.043,23.043,0,23.029,23.029,0,22.981
